Date,AssetCode,AssetName,Market,Source,InvestorType,NetBuyVolume
2020-01-02,000660,SK Hynix,KR_STOCK,NaverFinance,Foreign,558612.0
2020-01-02,000660,SK Hynix,KR_STOCK,NaverFinance,Institution,-690924.0
2020-01-02,005930,Samsung Electronics,KR_STOCK,NaverFinance,Foreign,-528398.0
2020-01-02,005930,Samsung Electronics,KR_STOCK,NaverFinance,Institution,-2354766.0
2020-01-02,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Foreign,-15903.0
2020-01-02,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Institution,7510.0
2020-01-03,000660,SK Hynix,KR_STOCK,NaverFinance,Foreign,-165735.0
2020-01-03,000660,SK Hynix,KR_STOCK,NaverFinance,Institution,-98745.0
2020-01-03,005930,Samsung Electronics,KR_STOCK,NaverFinance,Foreign,1120131.0
2020-01-03,005930,Samsung Electronics,KR_STOCK,NaverFinance,Institution,-2228329.0
2020-01-03,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Foreign,35938.0
2020-01-03,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Institution,-12382.0
2020-01-06,000660,SK Hynix,KR_STOCK,NaverFinance,Foreign,124303.0
2020-01-06,000660,SK Hynix,KR_STOCK,NaverFinance,Institution,-75273.0
2020-01-06,005930,Samsung Electronics,KR_STOCK,NaverFinance,Foreign,777136.0
2020-01-06,005930,Samsung Electronics,KR_STOCK,NaverFinance,Institution,-1199654.0
2020-01-06,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Foreign,67679.0
2020-01-06,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Institution,-35302.0
2020-01-07,000660,SK Hynix,KR_STOCK,NaverFinance,Foreign,-360195.0
2020-01-07,000660,SK Hynix,KR_STOCK,NaverFinance,Institution,105036.0
2020-01-07,005930,Samsung Electronics,KR_STOCK,NaverFinance,Foreign,-34299.0
2020-01-07,005930,Samsung Electronics,KR_STOCK,NaverFinance,Institution,51896.0
2020-01-07,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Foreign,-11431.0
2020-01-07,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Institution,670.0
2020-01-08,000660,SK Hynix,KR_STOCK,NaverFinance,Foreign,174871.0
2020-01-08,000660,SK Hynix,KR_STOCK,NaverFinance,Institution,970897.0
2020-01-08,005930,Samsung Electronics,KR_STOCK,NaverFinance,Foreign,4259185.0
2020-01-08,005930,Samsung Electronics,KR_STOCK,NaverFinance,Institution,73413.0
2020-01-08,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Foreign,-14793.0
2020-01-08,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Institution,103251.0
2020-01-09,000660,SK Hynix,KR_STOCK,NaverFinance,Foreign,-480276.0
2020-01-09,000660,SK Hynix,KR_STOCK,NaverFinance,Institution,210213.0
2020-01-09,005930,Samsung Electronics,KR_STOCK,NaverFinance,Foreign,3675893.0
2020-01-09,005930,Samsung Electronics,KR_STOCK,NaverFinance,Institution,-2302970.0
2020-01-09,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Foreign,64733.0
2020-01-09,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Institution,64185.0
2020-01-10,000660,SK Hynix,KR_STOCK,NaverFinance,Foreign,57768.0
2020-01-10,000660,SK Hynix,KR_STOCK,NaverFinance,Institution,-388253.0
2020-01-10,005930,Samsung Electronics,KR_STOCK,NaverFinance,Foreign,1627980.0
2020-01-10,005930,Samsung Electronics,KR_STOCK,NaverFinance,Institution,-2954194.0
2020-01-10,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Foreign,-11124.0
2020-01-10,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Institution,115399.0
2020-01-13,000660,SK Hynix,KR_STOCK,NaverFinance,Foreign,211230.0
2020-01-13,000660,SK Hynix,KR_STOCK,NaverFinance,Institution,-121331.0
2020-01-13,005930,Samsung Electronics,KR_STOCK,NaverFinance,Foreign,1424667.0
2020-01-13,005930,Samsung Electronics,KR_STOCK,NaverFinance,Institution,-1512823.0
2020-01-13,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Foreign,-71120.0
2020-01-13,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Institution,62896.0
2020-01-14,000660,SK Hynix,KR_STOCK,NaverFinance,Foreign,256200.0
2020-01-14,000660,SK Hynix,KR_STOCK,NaverFinance,Institution,-526950.0
2020-01-14,005930,Samsung Electronics,KR_STOCK,NaverFinance,Foreign,344588.0
2020-01-14,005930,Samsung Electronics,KR_STOCK,NaverFinance,Institution,-1666086.0
2020-01-14,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Foreign,74666.0
2020-01-14,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Institution,86636.0
2020-01-15,000660,SK Hynix,KR_STOCK,NaverFinance,Foreign,-142312.0
2020-01-15,000660,SK Hynix,KR_STOCK,NaverFinance,Institution,-890950.0
2020-01-15,005930,Samsung Electronics,KR_STOCK,NaverFinance,Foreign,-2974056.0
2020-01-15,005930,Samsung Electronics,KR_STOCK,NaverFinance,Institution,244147.0
2020-01-15,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Foreign,-96715.0
2020-01-15,042700,Hanmi Semiconductor,KR_STOCK,NaverFinance,Institution,-7780.0
2020-01-16,000660,SK Hynix,KR_STOCK,NaverFinance,Foreign,-296944.0
2020-01-16,000660,SK Hynix,KR_STOCK,NaverFinance,Institution,-52478.0
2020-01-16,005930,Samsung Electronics,KR_STOCK,NaverFinance,Foreign,1139412.0
