Date,AssetCode,AssetName,Market,Source,Open,High,Low,Close,Volume,Value
2020-01-01,KRW=X,USD/KRW,FX,yfinance,1154.4000244140625,1154.4000244140625,1145.449951171875,1153.75,0,
2020-01-02,000660,SK Hynix,KR_STOCK,FinanceDataReader,96000.0,96200.0,94100.0,94700.0,2342070,
2020-01-02,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,55500.0,56000.0,55000.0,55200.0,12993228,
2020-01-02,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,4055.0,4125.0,3970.0,3980.0,366562,
2020-01-02,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,672.53,674.3,666.62,674.02,783730760,
2020-01-02,KRW=X,USD/KRW,FX,yfinance,1153.9599609375,1160.18994140625,1145.199951171875,1153.969970703125,0,
2020-01-02,KS11,KOSPI,KR_INDEX,FinanceDataReader,2201.21,2202.32,2171.84,2175.17,494677752,
2020-01-02,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,71.8949966430664,72.47000122070312,71.65499877929688,72.33999633789062,5200400,
2020-01-02,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,84.75333404541016,85.43000030517578,84.33333587646484,85.43000030517578,1275300,
2020-01-02,^GSPC,S&P 500,US_INDEX,yfinance,3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3459930000,
2020-01-02,^IXIC,NASDAQ Composite,US_INDEX,yfinance,9039.4599609375,9093.4296875,9010.8896484375,9092.1904296875,2862700000,
2020-01-03,000660,SK Hynix,KR_STOCK,FinanceDataReader,96500.0,97900.0,94300.0,94500.0,3021380,
2020-01-03,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,56000.0,56600.0,54900.0,55500.0,15422255,
2020-01-03,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,4040.0,4155.0,3975.0,3985.0,715858,
2020-01-03,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,677.57,679.37,668.1,669.93,903858876,
2020-01-03,KRW=X,USD/KRW,FX,yfinance,1157.550048828125,1168.0699462890625,1155.31005859375,1157.1500244140625,0,
2020-01-03,KS11,KOSPI,KR_INDEX,FinanceDataReader,2192.58,2203.38,2165.39,2176.46,631562785,
2020-01-03,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,71.2750015258789,71.71499633789062,70.94000244140625,71.15499877929688,9963600,
2020-01-03,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,84.11333465576172,84.56999969482422,83.65333557128906,83.836669921875,1235100,
